Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
6/18/22,20443.61,20743.62,17594.94,18949.08,3410.396007,00:00.0,64445435,75203,1547.788422,29207093.26,0
6/19/22,18942.29,20799.03,17925.03,20558.14,2474.201153,00:00.0,48049415.4,52481,1266.135217,24626422.46,0
6/20/22,20542.83,21038.89,19601.9,20539.82,2084.194444,00:00.0,42308495.66,48529,992.761627,20164901.14,0
6/21/22,20545.99,21702.52,20333,20704.85,2175.645367,00:00.0,45802927.33,52813,1066.302579,22453534.02,0
6/22/22,20702.68,20874.34,19742.25,19973.04,3263.279828,00:00.0,66140800.43,78582,1567.21582,31776075.75,0
6/23/22,19971.75,21226.32,19863.77,21091.3,3659.16487,00:00.0,75290941.19,142288,1898.653313,39059826.61,0
6/24/22,21094.63,21534.33,20719.39,21218.44,3115.210891,00:00.0,65727484.39,95513,1630.353144,34403571.29,0
6/25/22,21224.95,21595.71,20896.85,21469.62,2028.347001,00:00.0,43103934.16,77012,1041.229323,22136134.66,0
6/26/22,21475.55,21878.02,20955,21026.26,1928.11807,00:00.0,41174756.91,72706,939.291477,20065683.39,0
6/27/22,21027.21,21522.61,20478.28,20722.93,2682.93546,00:00.0,56199329.95,93856,1328.520068,27852459.8,0
6/28/22,20722.28,21190,20171.01,20253.07,5362.945114,00:00.0,110860743.4,152586,2712.575015,56089587.58,0
6/29/22,20250.83,20420.92,19832.92,20099.67,7099.4662,00:00.0,142773458.5,200973,3517.112055,70743237.19,0
6/30/22,20099.5,20145.32,18612,19937.23,8521.844238,00:00.0,164560741.8,202963,4213.405593,81380077.48,0
7/1/22,19935.53,20896.36,18940,19256.75,9747.183616,00:00.0,191235770.7,157009,4770.357564,93628102.01,0
7/2/22,19261.58,19441.9,18956.79,19226.53,3913.931431,00:00.0,75203894.39,70068,1933.15245,37148292.76,0
